file_name,annotation_value
919c9eb3-08fc-41e3-ae84-82faa3b55452.jpg,receipt
2502c884-2c6c-4b15-b2ad-605237090012.jpg,receipt
7201f060-7785-4c7e-aa72-55d1e7601886.jpg,receipt
95abff11-1ef7-4fbe-aadc-761f2ced3099.jpg,receipt
9d0f6f43-bb41-424c-9d7a-802414b2d2da.jpg,receipt
2a077ce7-1872-4782-9761-d25c8bd0d4b4.jpg,slip
ca058100-8c9d-45fa-8491-f841f01b69cf.jpg,invoice
64f70170-6aa3-45cb-9907-c9a4bf7c1f3d.jpg,invoice
b38c2320-b6bc-4787-98c2-f84e1576dac9.jpg,receipt
b92dc66c-0ee6-484f-8712-d0053798e9a3.jpg,receipt
8f29132c-aa6d-4070-91b3-1593f059b1dd.jpg,receipt
c49ab59d-efae-4e2d-a50e-df2b92ec4d21.jpg,receipt
b29b379d-e2d5-4a2c-aac7-bbfd2c461215.jpg,receipt
8ddb4c01-5205-4ff3-a5d4-068f70e40400.jpg,receipt
8448ed08-ca5b-49ef-9731-7141bddadbf5.jpg,receipt
6875297a-5328-44ef-95cc-ac65897b633b.jpg,invoice
cc0178c4-c69e-4cc0-9574-4efbd8b8fe1d.jpg,receipt
20180214213044880998c8500df0-de0f-4022-9081-4a69c9ded886.jpg,invoice
ece77c49-e58d-4b1d-bb3f-58b40cfec449.jpg,receipt
7afb00ef-b202-4a5f-aeed-c4418513d1a0.jpg,fisandslip
5c3c1731-ec1e-461d-95dc-3b17d581f626.jpg,invoice
a20dd6c7-4da0-42a4-b046-95ca9d89c909.jpg,receipt
2ac23ac3-5e8f-4ea1-bd4b-a6355fd157d1.jpg,receipt
201801032005334584029dc059dd-c2fa-4ae4-bc12-f9ad0262a0de.jpg,invoice
201801261435231046076f4cbe94-7ece-470e-88b3-85b2cc81eb09.jpg,invoice
dbe10d74-dbad-4cae-9a56-b001afe6ecfb.jpg,receipt
34df95ab-4bb4-429a-89fe-74ac882b7b03.jpg,receipt
21f4f7c9-37b8-4512-b690-d3fc60cd053b.jpg,invoice
52d4113c-0aee-42f6-a151-21a7f9fd8fbf.jpg,inforeceipt
902c1ff5-4226-43dc-9273-20e169eb5fc5.jpg,receipt
9f4df301-3621-46e4-899e-74b3055a9244.jpg,receipt
9b56881d-9a1f-4acf-a376-8d8cf620f84e.jpg,receipt
f064327e-fbb4-48ee-83be-0d2a4d5dd484.jpg,receipt
47a3ec19-6910-4987-990b-0d4d0156f073.jpg,receipt
cb678687-58c7-40fd-8b5d-91d594e8bdae.jpg,slip
ccea8e22-2942-409f-ad04-77b8abbab7b6.jpg,receipt
c78e7627-16ea-4e0b-a7d2-c8c4205e1f1b.jpg,receipt
a1fc93f3-970d-4fba-ad6a-b4badc64a489.jpg,receipt
e55dd75b-76a5-4e23-aed6-73b521dac412.jpg,receipt
f15e9529-b35c-48d5-8850-82bbd234dcce.jpg,receipt
2018020517201342671371b98975-2a9a-4638-b732-4c59d8d8c1f7.jpg,invoice
569c183b-b7e9-48e8-a25b-97ae04c56cfc.jpg,receipt
2e6afe6a-4fcd-4fa3-97b2-a22bf3d6449d.jpg,receipt
e01ad450-9cac-4f2a-9ca2-c3a67cceec0a.jpg,receipt
dc8936a9-3406-44fd-8070-bc200a035b26.jpg,invoice
37885c85-a0f0-4337-8936-75d2a1b6f046.jpg,receipt
d8d63df5-4bc0-4a16-9903-6aa5638595d9.jpg,invoice
35af6b04-a94f-4e6a-9c56-1980edfc60e2.jpg,receipt
20180211162114988207a7a9a92f-2349-4019-8c92-35ae0ec99224.jpg,invoice
d05625c1-464b-4153-8ced-0ab767256fa3.jpg,receipt
5e8261da-aa53-42aa-8d21-22609ac374fd.jpg,receipt
ce26ddf8-2c69-45fc-8a35-8748fcda5a02.jpg,invoice
f441ad67-7ede-4dc2-8f29-13b3b9d3c63c.jpg,inforeceipt
201803061615251916025ed99f1e-bd7c-4e26-9bb0-02b88146e33b.jpg,receipt
2056c23e-22cc-4d57-881b-820263cb5197.jpg,inforeceipt
c8cf142c-0c8f-4691-8be7-194df19a70f0.jpg,receipt
20180430131009682849f8c40b09-65a7-4b74-965f-9f358ae62fb7.jpg,fisandslip
6a4b888d-4008-4afa-b74c-53111420e72d.jpg,receipt
31d940dc-45f9-44eb-8b3f-8375536c2537.jpg,receipt
ea6fd677-6035-4df3-a90a-18f7daa30dd9.jpg,slip
20180304194039113433366a7e4d-9721-4c65-a3e0-aad390760bfe.jpg,invoice
3686aeb3-3afd-482b-b0b7-059b637299df.jpg,invoice
858b80eb-ea75-4701-9fe2-e7e6a184afcb.jpg,receipt
20180218125114469481b5e0ecd5-9d68-4c27-98f9-6f9cc16d8f13.jpg,invoice
a3569d10-48c8-4001-9649-cb43e1c78313.jpg,receipt
42e145bd-ef19-47ff-a63f-0cbe2399233a.jpg,receipt
20180225142522775604fb626f36-a181-4336-a537-1d4f88369e72.jpg,invoice
2018020117153532956329f1146c-fe8a-4e44-8571-2e2c93a6dc26.jpg,invoice
a2527ff3-46c2-4421-948e-3437dce2bd95.jpg,receipt
d2e11088-a1d2-4ad5-969c-719e8406f693.jpg,invoice
b8848a55-7d89-45fd-aaa5-080321e2a784.jpg,receipt
dccaa837-a8cb-45d9-8d0e-b427d3c198bd.jpg,receipt
55c994ac-5673-46e3-a78a-d193731f5e1e.jpg,receipt
bb00b6ef-6af6-4e2c-a376-8d429833fba6.jpg,receipt
5d0f4094-9c1e-4d2d-8ead-938f01d9d024.jpg,receipt
32d78920-ea8b-460f-bc05-de71a9e691bf.jpg,receipt
7dd8fac1-574e-4d47-8ceb-e799a0a30d8e.jpg,invoice
4cfd69bf-c8e4-42eb-b8dd-969dc06dc324.jpg,invoice
8e4d6522-7112-460f-866b-19287f4a0703.jpg,receipt
e0b0d1e5-5443-45a3-9adb-ed3f02014d35.jpg,receipt
201802251145102399316158b5c9-da08-490e-9b08-a8a0091d192a.jpg,invoice
e8a19646-fe6e-485d-9971-e744e9dbb5b1.jpg,receipt
5973deed-d755-4e0f-88b7-eb472b9ef853.jpg,receipt
68bce1eb-c142-4a53-8442-2d3ec98354c9.jpg,receipt
43ce5e60-86d9-473a-a542-9c561fc0924e.jpg,receipt
3b4de3e9-da32-42f3-8235-08ba5dfa60da.jpg,inforeceipt
af80f564-63db-4683-8d6c-1470398e47c5.jpg,receipt
82a0d6dc-a577-4071-9e38-3953b75344fd.jpg,receipt
39c311a0-fab9-427d-9f55-9c50ababcd22.jpg,receipt
201803020641051908917500860e-53a6-4239-831f-db6c1df0f0a3.jpg,invoice
7187d805-7341-4c5c-a87c-ff52d67f41e5.jpg,receipt
ab5010a6-4fe2-4571-a170-0b10217cb026.jpg,receipt
2e2a8d5f-7182-4063-9446-57e3da99e446.jpg,receipt
20180509173848408356ec3ec9fe-192e-4d32-976a-0d4342c2fabd.jpg,fisandslip
2018030613352297540783796e68-0927-43b2-b180-0529af24b274.jpg,invoice
20180504181512289633483d839b-d46b-4bd5-b3e0-2c56b4f5e6b2.jpg,inforeceipt
5639029f-84db-42c7-ade6-7d3a357a6735.jpg,fisandslip
6d434ffc-44c6-4cf7-bcdf-9552de6272ef.jpg,inforeceipt
5f592da8-7006-4762-b779-0b0a40d4fce7.jpg,receipt
5bb6d6df-50fa-42db-a10c-e633edc5f201.jpg,invoice
d7840c0a-30b8-4f8a-827b-be463b5e8716.jpg,invoice
643fb3cc-c306-4541-8f7a-0fe1b9bc6faa.jpg,invoice
5a847487-fef1-42a1-9364-5370c65d2f98.jpg,inforeceipt
94afe8fd-32e9-4c23-b3dd-42749e8a69b1.jpg,receipt
bbdff5df-b873-4504-b592-cca27b38d0d7.jpg,receipt
b7c312a7-e9ed-4df2-822c-ac0e311dc406.jpg,receipt
c6c59aea-ebe4-4746-8f9a-15cf477addf8.jpg,receipt
20180101115106198903d870597b-cb72-4363-b608-9dcb66694e10.jpg,invoice
a5eeee5a-3ab9-4f83-87b1-c9a95768fa58.jpg,inforeceipt
e4de1ebc-3229-449c-8eda-b21d635f95ad.jpg,inforeceipt
201802151655507577693918f1ac-4828-4c34-a2db-f4ea8dc7a389.jpg,invoice
6b3d6cc8-c2a6-4884-9f9e-680eb205270b.jpg,receipt
1d9fe3b8-bbb2-498c-accb-b4e9511a4ab4.jpg,invoice
e91f6948-8f60-4479-89fa-610b6654e9c9.jpg,receipt
4cba6f42-8ba7-46a1-8aeb-944b9ecf3587.jpg,receipt
ba70df70-f97f-4869-a823-7e7faf3ca32b.jpg,receipt
23227318-71ab-4754-bb3b-c7037ca010d8.jpg,receipt
fe6e1081-dc3f-4382-9bd8-be8f6eaad70b.jpg,receipt
4a849a7f-759b-4cb8-ba1d-54b90cb67d4f.jpg,receipt
1762e188-5ab9-4d64-85c8-a5ed9f7f3c94.jpg,receipt
f5ca7676-2c7b-414e-abe4-82a4be861d09.jpg,receipt
2018021413054021677106b0c514-008b-4939-a41a-8ce7b3283da2.jpg,invoice
69d274e9-5509-4940-9497-64ca1920a280.jpg,inforeceipt
